artifact_set_id,base_task_id,benign_matched_id,benign_weak_id,candidate_order,carrier_id,clean_run_id,desire_id,external_run_id,malicious_artifact_id,pair_id,seed,user_context_run_id
T000_D01_ASET01,user_task_0,T000_D01_BM01,T000_D01_BW01,"[""T000_D01_BW01"", ""T000_D01_M01"", ""T000_D01_BM01""]",T000_D01_C01,EXP1_T000_D01_CLEAN,T000_D01,EXP1_T000_D01_C01_E,T000_D01_M01,EXP1_T000_D01_C01,1245,EXP1_T000_D01_C01_UC
T000_D01_ASET01,user_task_0,T000_D01_BM01,T000_D01_BW01,"[""T000_D01_M01"", ""T000_D01_BM01"", ""T000_D01_BW01""]",T000_D01_C02,EXP1_T000_D01_CLEAN,T000_D01,EXP1_T000_D01_C02_E,T000_D01_M01,EXP1_T000_D01_C02,1246,EXP1_T000_D01_C02_UC
T000_D01_ASET01,user_task_0,T000_D01_BM01,T000_D01_BW01,"[""T000_D01_BM01"", ""T000_D01_BW01"", ""T000_D01_M01""]",T000_D01_C03,EXP1_T000_D01_CLEAN,T000_D01,EXP1_T000_D01_C03_E,T000_D01_M01,EXP1_T000_D01_C03,1247,EXP1_T000_D01_C03_UC
T000_D02_ASET01,user_task_0,T000_D02_BM01,T000_D02_BW01,"[""T000_D02_M01"", ""T000_D02_BM01"", ""T000_D02_BW01""]",T000_D02_C01,EXP1_T000_D02_CLEAN,T000_D02,EXP1_T000_D02_C01_E,T000_D02_M01,EXP1_T000_D02_C01,1255,EXP1_T000_D02_C01_UC
T000_D02_ASET01,user_task_0,T000_D02_BM01,T000_D02_BW01,"[""T000_D02_BM01"", ""T000_D02_BW01"", ""T000_D02_M01""]",T000_D02_C02,EXP1_T000_D02_CLEAN,T000_D02,EXP1_T000_D02_C02_E,T000_D02_M01,EXP1_T000_D02_C02,1256,EXP1_T000_D02_C02_UC
T000_D02_ASET01,user_task_0,T000_D02_BM01,T000_D02_BW01,"[""T000_D02_BW01"", ""T000_D02_M01"", ""T000_D02_BM01""]",T000_D02_C03,EXP1_T000_D02_CLEAN,T000_D02,EXP1_T000_D02_C03_E,T000_D02_M01,EXP1_T000_D02_C03,1257,EXP1_T000_D02_C03_UC
T000_D03_ASET01,user_task_0,T000_D03_BM01,T000_D03_BW01,"[""T000_D03_BM01"", ""T000_D03_BW01"", ""T000_D03_M01""]",T000_D03_C01,EXP1_T000_D03_CLEAN,T000_D03,EXP1_T000_D03_C01_E,T000_D03_M01,EXP1_T000_D03_C01,1265,EXP1_T000_D03_C01_UC
T000_D03_ASET01,user_task_0,T000_D03_BM01,T000_D03_BW01,"[""T000_D03_BW01"", ""T000_D03_M01"", ""T000_D03_BM01""]",T000_D03_C02,EXP1_T000_D03_CLEAN,T000_D03,EXP1_T000_D03_C02_E,T000_D03_M01,EXP1_T000_D03_C02,1266,EXP1_T000_D03_C02_UC
T000_D03_ASET01,user_task_0,T000_D03_BM01,T000_D03_BW01,"[""T000_D03_M01"", ""T000_D03_BM01"", ""T000_D03_BW01""]",T000_D03_C03,EXP1_T000_D03_CLEAN,T000_D03,EXP1_T000_D03_C03_E,T000_D03_M01,EXP1_T000_D03_C03,1267,EXP1_T000_D03_C03_UC
T001_D01_ASET01,user_task_1,T001_D01_BM01,T001_D01_BW01,"[""T001_D01_M01"", ""T001_D01_BM01"", ""T001_D01_BW01""]",T001_D01_C01,EXP1_T001_D01_CLEAN,T001_D01,EXP1_T001_D01_C01_E,T001_D01_M01,EXP1_T001_D01_C01,1345,EXP1_T001_D01_C01_UC
T001_D01_ASET01,user_task_1,T001_D01_BM01,T001_D01_BW01,"[""T001_D01_BM01"", ""T001_D01_BW01"", ""T001_D01_M01""]",T001_D01_C02,EXP1_T001_D01_CLEAN,T001_D01,EXP1_T001_D01_C02_E,T001_D01_M01,EXP1_T001_D01_C02,1346,EXP1_T001_D01_C02_UC
T001_D01_ASET01,user_task_1,T001_D01_BM01,T001_D01_BW01,"[""T001_D01_BW01"", ""T001_D01_M01"", ""T001_D01_BM01""]",T001_D01_C03,EXP1_T001_D01_CLEAN,T001_D01,EXP1_T001_D01_C03_E,T001_D01_M01,EXP1_T001_D01_C03,1347,EXP1_T001_D01_C03_UC
T001_D02_ASET01,user_task_1,T001_D02_BM01,T001_D02_BW01,"[""T001_D02_BM01"", ""T001_D02_BW01"", ""T001_D02_M01""]",T001_D02_C01,EXP1_T001_D02_CLEAN,T001_D02,EXP1_T001_D02_C01_E,T001_D02_M01,EXP1_T001_D02_C01,1355,EXP1_T001_D02_C01_UC
T001_D02_ASET01,user_task_1,T001_D02_BM01,T001_D02_BW01,"[""T001_D02_BW01"", ""T001_D02_M01"", ""T001_D02_BM01""]",T001_D02_C02,EXP1_T001_D02_CLEAN,T001_D02,EXP1_T001_D02_C02_E,T001_D02_M01,EXP1_T001_D02_C02,1356,EXP1_T001_D02_C02_UC
T001_D02_ASET01,user_task_1,T001_D02_BM01,T001_D02_BW01,"[""T001_D02_M01"", ""T001_D02_BM01"", ""T001_D02_BW01""]",T001_D02_C03,EXP1_T001_D02_CLEAN,T001_D02,EXP1_T001_D02_C03_E,T001_D02_M01,EXP1_T001_D02_C03,1357,EXP1_T001_D02_C03_UC
T001_D03_ASET01,user_task_1,T001_D03_BM01,T001_D03_BW01,"[""T001_D03_BW01"", ""T001_D03_M01"", ""T001_D03_BM01""]",T001_D03_C01,EXP1_T001_D03_CLEAN,T001_D03,EXP1_T001_D03_C01_E,T001_D03_M01,EXP1_T001_D03_C01,1365,EXP1_T001_D03_C01_UC
T001_D03_ASET01,user_task_1,T001_D03_BM01,T001_D03_BW01,"[""T001_D03_M01"", ""T001_D03_BM01"", ""T001_D03_BW01""]",T001_D03_C02,EXP1_T001_D03_CLEAN,T001_D03,EXP1_T001_D03_C02_E,T001_D03_M01,EXP1_T001_D03_C02,1366,EXP1_T001_D03_C02_UC
T001_D03_ASET01,user_task_1,T001_D03_BM01,T001_D03_BW01,"[""T001_D03_BM01"", ""T001_D03_BW01"", ""T001_D03_M01""]",T001_D03_C03,EXP1_T001_D03_CLEAN,T001_D03,EXP1_T001_D03_C03_E,T001_D03_M01,EXP1_T001_D03_C03,1367,EXP1_T001_D03_C03_UC
T002_D01_ASET01,user_task_10,T002_D01_BM01,T002_D01_BW01,"[""T002_D01_BM01"", ""T002_D01_BW01"", ""T002_D01_M01""]",T002_D01_C01,EXP1_T002_D01_CLEAN,T002_D01,EXP1_T002_D01_C01_E,T002_D01_M01,EXP1_T002_D01_C01,1445,EXP1_T002_D01_C01_UC
T002_D01_ASET01,user_task_10,T002_D01_BM01,T002_D01_BW01,"[""T002_D01_BW01"", ""T002_D01_M01"", ""T002_D01_BM01""]",T002_D01_C02,EXP1_T002_D01_CLEAN,T002_D01,EXP1_T002_D01_C02_E,T002_D01_M01,EXP1_T002_D01_C02,1446,EXP1_T002_D01_C02_UC
T002_D01_ASET01,user_task_10,T002_D01_BM01,T002_D01_BW01,"[""T002_D01_M01"", ""T002_D01_BM01"", ""T002_D01_BW01""]",T002_D01_C03,EXP1_T002_D01_CLEAN,T002_D01,EXP1_T002_D01_C03_E,T002_D01_M01,EXP1_T002_D01_C03,1447,EXP1_T002_D01_C03_UC
T002_D02_ASET01,user_task_10,T002_D02_BM01,T002_D02_BW01,"[""T002_D02_BW01"", ""T002_D02_M01"", ""T002_D02_BM01""]",T002_D02_C01,EXP1_T002_D02_CLEAN,T002_D02,EXP1_T002_D02_C01_E,T002_D02_M01,EXP1_T002_D02_C01,1455,EXP1_T002_D02_C01_UC
T002_D02_ASET01,user_task_10,T002_D02_BM01,T002_D02_BW01,"[""T002_D02_M01"", ""T002_D02_BM01"", ""T002_D02_BW01""]",T002_D02_C02,EXP1_T002_D02_CLEAN,T002_D02,EXP1_T002_D02_C02_E,T002_D02_M01,EXP1_T002_D02_C02,1456,EXP1_T002_D02_C02_UC
T002_D02_ASET01,user_task_10,T002_D02_BM01,T002_D02_BW01,"[""T002_D02_BM01"", ""T002_D02_BW01"", ""T002_D02_M01""]",T002_D02_C03,EXP1_T002_D02_CLEAN,T002_D02,EXP1_T002_D02_C03_E,T002_D02_M01,EXP1_T002_D02_C03,1457,EXP1_T002_D02_C03_UC
T002_D03_ASET01,user_task_10,T002_D03_BM01,T002_D03_BW01,"[""T002_D03_M01"", ""T002_D03_BM01"", ""T002_D03_BW01""]",T002_D03_C01,EXP1_T002_D03_CLEAN,T002_D03,EXP1_T002_D03_C01_E,T002_D03_M01,EXP1_T002_D03_C01,1465,EXP1_T002_D03_C01_UC
T002_D03_ASET01,user_task_10,T002_D03_BM01,T002_D03_BW01,"[""T002_D03_BM01"", ""T002_D03_BW01"", ""T002_D03_M01""]",T002_D03_C02,EXP1_T002_D03_CLEAN,T002_D03,EXP1_T002_D03_C02_E,T002_D03_M01,EXP1_T002_D03_C02,1466,EXP1_T002_D03_C02_UC
T002_D03_ASET01,user_task_10,T002_D03_BM01,T002_D03_BW01,"[""T002_D03_BW01"", ""T002_D03_M01"", ""T002_D03_BM01""]",T002_D03_C03,EXP1_T002_D03_CLEAN,T002_D03,EXP1_T002_D03_C03_E,T002_D03_M01,EXP1_T002_D03_C03,1467,EXP1_T002_D03_C03_UC
T003_D01_ASET01,user_task_11,T003_D01_BM01,T003_D01_BW01,"[""T003_D01_BW01"", ""T003_D01_M01"", ""T003_D01_BM01""]",T003_D01_C01,EXP1_T003_D01_CLEAN,T003_D01,EXP1_T003_D01_C01_E,T003_D01_M01,EXP1_T003_D01_C01,1545,EXP1_T003_D01_C01_UC
T003_D01_ASET01,user_task_11,T003_D01_BM01,T003_D01_BW01,"[""T003_D01_M01"", ""T003_D01_BM01"", ""T003_D01_BW01""]",T003_D01_C02,EXP1_T003_D01_CLEAN,T003_D01,EXP1_T003_D01_C02_E,T003_D01_M01,EXP1_T003_D01_C02,1546,EXP1_T003_D01_C02_UC
T003_D01_ASET01,user_task_11,T003_D01_BM01,T003_D01_BW01,"[""T003_D01_BM01"", ""T003_D01_BW01"", ""T003_D01_M01""]",T003_D01_C03,EXP1_T003_D01_CLEAN,T003_D01,EXP1_T003_D01_C03_E,T003_D01_M01,EXP1_T003_D01_C03,1547,EXP1_T003_D01_C03_UC
T003_D02_ASET01,user_task_11,T003_D02_BM01,T003_D02_BW01,"[""T003_D02_M01"", ""T003_D02_BM01"", ""T003_D02_BW01""]",T003_D02_C01,EXP1_T003_D02_CLEAN,T003_D02,EXP1_T003_D02_C01_E,T003_D02_M01,EXP1_T003_D02_C01,1555,EXP1_T003_D02_C01_UC
T003_D02_ASET01,user_task_11,T003_D02_BM01,T003_D02_BW01,"[""T003_D02_BM01"", ""T003_D02_BW01"", ""T003_D02_M01""]",T003_D02_C02,EXP1_T003_D02_CLEAN,T003_D02,EXP1_T003_D02_C02_E,T003_D02_M01,EXP1_T003_D02_C02,1556,EXP1_T003_D02_C02_UC
T003_D02_ASET01,user_task_11,T003_D02_BM01,T003_D02_BW01,"[""T003_D02_BW01"", ""T003_D02_M01"", ""T003_D02_BM01""]",T003_D02_C03,EXP1_T003_D02_CLEAN,T003_D02,EXP1_T003_D02_C03_E,T003_D02_M01,EXP1_T003_D02_C03,1557,EXP1_T003_D02_C03_UC
T003_D03_ASET01,user_task_11,T003_D03_BM01,T003_D03_BW01,"[""T003_D03_BM01"", ""T003_D03_BW01"", ""T003_D03_M01""]",T003_D03_C01,EXP1_T003_D03_CLEAN,T003_D03,EXP1_T003_D03_C01_E,T003_D03_M01,EXP1_T003_D03_C01,1565,EXP1_T003_D03_C01_UC
T003_D03_ASET01,user_task_11,T003_D03_BM01,T003_D03_BW01,"[""T003_D03_BW01"", ""T003_D03_M01"", ""T003_D03_BM01""]",T003_D03_C02,EXP1_T003_D03_CLEAN,T003_D03,EXP1_T003_D03_C02_E,T003_D03_M01,EXP1_T003_D03_C02,1566,EXP1_T003_D03_C02_UC
T003_D03_ASET01,user_task_11,T003_D03_BM01,T003_D03_BW01,"[""T003_D03_M01"", ""T003_D03_BM01"", ""T003_D03_BW01""]",T003_D03_C03,EXP1_T003_D03_CLEAN,T003_D03,EXP1_T003_D03_C03_E,T003_D03_M01,EXP1_T003_D03_C03,1567,EXP1_T003_D03_C03_UC
T004_D01_ASET01,user_task_12,T004_D01_BM01,T004_D01_BW01,"[""T004_D01_M01"", ""T004_D01_BM01"", ""T004_D01_BW01""]",T004_D01_C01,EXP1_T004_D01_CLEAN,T004_D01,EXP1_T004_D01_C01_E,T004_D01_M01,EXP1_T004_D01_C01,1645,EXP1_T004_D01_C01_UC
T004_D01_ASET01,user_task_12,T004_D01_BM01,T004_D01_BW01,"[""T004_D01_BM01"", ""T004_D01_BW01"", ""T004_D01_M01""]",T004_D01_C02,EXP1_T004_D01_CLEAN,T004_D01,EXP1_T004_D01_C02_E,T004_D01_M01,EXP1_T004_D01_C02,1646,EXP1_T004_D01_C02_UC
T004_D01_ASET01,user_task_12,T004_D01_BM01,T004_D01_BW01,"[""T004_D01_BW01"", ""T004_D01_M01"", ""T004_D01_BM01""]",T004_D01_C03,EXP1_T004_D01_CLEAN,T004_D01,EXP1_T004_D01_C03_E,T004_D01_M01,EXP1_T004_D01_C03,1647,EXP1_T004_D01_C03_UC
