artifact_set_id,base_task_id,benign_matched_id,benign_weak_id,candidate_order,carrier_id,condition,desire_id,embedded_artifact_id,embedded_artifact_type,group_id,malicious_artifact_id,run_id,seed
T000_D01_ASET01,user_task_0,T000_D01_BM01,T000_D01_BW01,"[""T000_D01_BW01"", ""T000_D01_M01"", ""T000_D01_BM01""]",T000_D01_C01,UC_B,T000_D01,T000_D01_BM01,benign_matched,EXP1_T000_D01_C01,T000_D01_M01,EXP1_T000_D01_C01_UCB,1245
T000_D01_ASET01,user_task_0,T000_D01_BM01,T000_D01_BW01,"[""T000_D01_M01"", ""T000_D01_BM01"", ""T000_D01_BW01""]",T000_D01_C02,UC_B,T000_D01,T000_D01_BM01,benign_matched,EXP1_T000_D01_C02,T000_D01_M01,EXP1_T000_D01_C02_UCB,1246
T000_D01_ASET01,user_task_0,T000_D01_BM01,T000_D01_BW01,"[""T000_D01_BM01"", ""T000_D01_BW01"", ""T000_D01_M01""]",T000_D01_C03,UC_B,T000_D01,T000_D01_BM01,benign_matched,EXP1_T000_D01_C03,T000_D01_M01,EXP1_T000_D01_C03_UCB,1247
T000_D02_ASET01,user_task_0,T000_D02_BM01,T000_D02_BW01,"[""T000_D02_M01"", ""T000_D02_BM01"", ""T000_D02_BW01""]",T000_D02_C01,UC_B,T000_D02,T000_D02_BM01,benign_matched,EXP1_T000_D02_C01,T000_D02_M01,EXP1_T000_D02_C01_UCB,1255
T000_D02_ASET01,user_task_0,T000_D02_BM01,T000_D02_BW01,"[""T000_D02_BM01"", ""T000_D02_BW01"", ""T000_D02_M01""]",T000_D02_C02,UC_B,T000_D02,T000_D02_BM01,benign_matched,EXP1_T000_D02_C02,T000_D02_M01,EXP1_T000_D02_C02_UCB,1256
T000_D02_ASET01,user_task_0,T000_D02_BM01,T000_D02_BW01,"[""T000_D02_BW01"", ""T000_D02_M01"", ""T000_D02_BM01""]",T000_D02_C03,UC_B,T000_D02,T000_D02_BM01,benign_matched,EXP1_T000_D02_C03,T000_D02_M01,EXP1_T000_D02_C03_UCB,1257
T000_D03_ASET01,user_task_0,T000_D03_BM01,T000_D03_BW01,"[""T000_D03_BM01"", ""T000_D03_BW01"", ""T000_D03_M01""]",T000_D03_C01,UC_B,T000_D03,T000_D03_BM01,benign_matched,EXP1_T000_D03_C01,T000_D03_M01,EXP1_T000_D03_C01_UCB,1265
T000_D03_ASET01,user_task_0,T000_D03_BM01,T000_D03_BW01,"[""T000_D03_BW01"", ""T000_D03_M01"", ""T000_D03_BM01""]",T000_D03_C02,UC_B,T000_D03,T000_D03_BM01,benign_matched,EXP1_T000_D03_C02,T000_D03_M01,EXP1_T000_D03_C02_UCB,1266
T000_D03_ASET01,user_task_0,T000_D03_BM01,T000_D03_BW01,"[""T000_D03_M01"", ""T000_D03_BM01"", ""T000_D03_BW01""]",T000_D03_C03,UC_B,T000_D03,T000_D03_BM01,benign_matched,EXP1_T000_D03_C03,T000_D03_M01,EXP1_T000_D03_C03_UCB,1267
T001_D01_ASET01,user_task_1,T001_D01_BM01,T001_D01_BW01,"[""T001_D01_M01"", ""T001_D01_BM01"", ""T001_D01_BW01""]",T001_D01_C01,UC_B,T001_D01,T001_D01_BM01,benign_matched,EXP1_T001_D01_C01,T001_D01_M01,EXP1_T001_D01_C01_UCB,1345
T001_D01_ASET01,user_task_1,T001_D01_BM01,T001_D01_BW01,"[""T001_D01_BM01"", ""T001_D01_BW01"", ""T001_D01_M01""]",T001_D01_C02,UC_B,T001_D01,T001_D01_BM01,benign_matched,EXP1_T001_D01_C02,T001_D01_M01,EXP1_T001_D01_C02_UCB,1346
T001_D01_ASET01,user_task_1,T001_D01_BM01,T001_D01_BW01,"[""T001_D01_BW01"", ""T001_D01_M01"", ""T001_D01_BM01""]",T001_D01_C03,UC_B,T001_D01,T001_D01_BM01,benign_matched,EXP1_T001_D01_C03,T001_D01_M01,EXP1_T001_D01_C03_UCB,1347
T001_D02_ASET01,user_task_1,T001_D02_BM01,T001_D02_BW01,"[""T001_D02_BM01"", ""T001_D02_BW01"", ""T001_D02_M01""]",T001_D02_C01,UC_B,T001_D02,T001_D02_BM01,benign_matched,EXP1_T001_D02_C01,T001_D02_M01,EXP1_T001_D02_C01_UCB,1355
T001_D02_ASET01,user_task_1,T001_D02_BM01,T001_D02_BW01,"[""T001_D02_BW01"", ""T001_D02_M01"", ""T001_D02_BM01""]",T001_D02_C02,UC_B,T001_D02,T001_D02_BM01,benign_matched,EXP1_T001_D02_C02,T001_D02_M01,EXP1_T001_D02_C02_UCB,1356
T001_D02_ASET01,user_task_1,T001_D02_BM01,T001_D02_BW01,"[""T001_D02_M01"", ""T001_D02_BM01"", ""T001_D02_BW01""]",T001_D02_C03,UC_B,T001_D02,T001_D02_BM01,benign_matched,EXP1_T001_D02_C03,T001_D02_M01,EXP1_T001_D02_C03_UCB,1357
T001_D03_ASET01,user_task_1,T001_D03_BM01,T001_D03_BW01,"[""T001_D03_BW01"", ""T001_D03_M01"", ""T001_D03_BM01""]",T001_D03_C01,UC_B,T001_D03,T001_D03_BM01,benign_matched,EXP1_T001_D03_C01,T001_D03_M01,EXP1_T001_D03_C01_UCB,1365
T001_D03_ASET01,user_task_1,T001_D03_BM01,T001_D03_BW01,"[""T001_D03_M01"", ""T001_D03_BM01"", ""T001_D03_BW01""]",T001_D03_C02,UC_B,T001_D03,T001_D03_BM01,benign_matched,EXP1_T001_D03_C02,T001_D03_M01,EXP1_T001_D03_C02_UCB,1366
T001_D03_ASET01,user_task_1,T001_D03_BM01,T001_D03_BW01,"[""T001_D03_BM01"", ""T001_D03_BW01"", ""T001_D03_M01""]",T001_D03_C03,UC_B,T001_D03,T001_D03_BM01,benign_matched,EXP1_T001_D03_C03,T001_D03_M01,EXP1_T001_D03_C03_UCB,1367
T002_D01_ASET01,user_task_10,T002_D01_BM01,T002_D01_BW01,"[""T002_D01_BM01"", ""T002_D01_BW01"", ""T002_D01_M01""]",T002_D01_C01,UC_B,T002_D01,T002_D01_BM01,benign_matched,EXP1_T002_D01_C01,T002_D01_M01,EXP1_T002_D01_C01_UCB,1445
T002_D01_ASET01,user_task_10,T002_D01_BM01,T002_D01_BW01,"[""T002_D01_BW01"", ""T002_D01_M01"", ""T002_D01_BM01""]",T002_D01_C02,UC_B,T002_D01,T002_D01_BM01,benign_matched,EXP1_T002_D01_C02,T002_D01_M01,EXP1_T002_D01_C02_UCB,1446
T002_D01_ASET01,user_task_10,T002_D01_BM01,T002_D01_BW01,"[""T002_D01_M01"", ""T002_D01_BM01"", ""T002_D01_BW01""]",T002_D01_C03,UC_B,T002_D01,T002_D01_BM01,benign_matched,EXP1_T002_D01_C03,T002_D01_M01,EXP1_T002_D01_C03_UCB,1447
T002_D02_ASET01,user_task_10,T002_D02_BM01,T002_D02_BW01,"[""T002_D02_BW01"", ""T002_D02_M01"", ""T002_D02_BM01""]",T002_D02_C01,UC_B,T002_D02,T002_D02_BM01,benign_matched,EXP1_T002_D02_C01,T002_D02_M01,EXP1_T002_D02_C01_UCB,1455
T002_D02_ASET01,user_task_10,T002_D02_BM01,T002_D02_BW01,"[""T002_D02_M01"", ""T002_D02_BM01"", ""T002_D02_BW01""]",T002_D02_C02,UC_B,T002_D02,T002_D02_BM01,benign_matched,EXP1_T002_D02_C02,T002_D02_M01,EXP1_T002_D02_C02_UCB,1456
T002_D02_ASET01,user_task_10,T002_D02_BM01,T002_D02_BW01,"[""T002_D02_BM01"", ""T002_D02_BW01"", ""T002_D02_M01""]",T002_D02_C03,UC_B,T002_D02,T002_D02_BM01,benign_matched,EXP1_T002_D02_C03,T002_D02_M01,EXP1_T002_D02_C03_UCB,1457
T002_D03_ASET01,user_task_10,T002_D03_BM01,T002_D03_BW01,"[""T002_D03_M01"", ""T002_D03_BM01"", ""T002_D03_BW01""]",T002_D03_C01,UC_B,T002_D03,T002_D03_BM01,benign_matched,EXP1_T002_D03_C01,T002_D03_M01,EXP1_T002_D03_C01_UCB,1465
T002_D03_ASET01,user_task_10,T002_D03_BM01,T002_D03_BW01,"[""T002_D03_BM01"", ""T002_D03_BW01"", ""T002_D03_M01""]",T002_D03_C02,UC_B,T002_D03,T002_D03_BM01,benign_matched,EXP1_T002_D03_C02,T002_D03_M01,EXP1_T002_D03_C02_UCB,1466
T002_D03_ASET01,user_task_10,T002_D03_BM01,T002_D03_BW01,"[""T002_D03_BW01"", ""T002_D03_M01"", ""T002_D03_BM01""]",T002_D03_C03,UC_B,T002_D03,T002_D03_BM01,benign_matched,EXP1_T002_D03_C03,T002_D03_M01,EXP1_T002_D03_C03_UCB,1467
T003_D01_ASET01,user_task_11,T003_D01_BM01,T003_D01_BW01,"[""T003_D01_BW01"", ""T003_D01_M01"", ""T003_D01_BM01""]",T003_D01_C01,UC_B,T003_D01,T003_D01_BM01,benign_matched,EXP1_T003_D01_C01,T003_D01_M01,EXP1_T003_D01_C01_UCB,1545
T003_D01_ASET01,user_task_11,T003_D01_BM01,T003_D01_BW01,"[""T003_D01_M01"", ""T003_D01_BM01"", ""T003_D01_BW01""]",T003_D01_C02,UC_B,T003_D01,T003_D01_BM01,benign_matched,EXP1_T003_D01_C02,T003_D01_M01,EXP1_T003_D01_C02_UCB,1546
T003_D01_ASET01,user_task_11,T003_D01_BM01,T003_D01_BW01,"[""T003_D01_BM01"", ""T003_D01_BW01"", ""T003_D01_M01""]",T003_D01_C03,UC_B,T003_D01,T003_D01_BM01,benign_matched,EXP1_T003_D01_C03,T003_D01_M01,EXP1_T003_D01_C03_UCB,1547
T003_D02_ASET01,user_task_11,T003_D02_BM01,T003_D02_BW01,"[""T003_D02_M01"", ""T003_D02_BM01"", ""T003_D02_BW01""]",T003_D02_C01,UC_B,T003_D02,T003_D02_BM01,benign_matched,EXP1_T003_D02_C01,T003_D02_M01,EXP1_T003_D02_C01_UCB,1555
T003_D02_ASET01,user_task_11,T003_D02_BM01,T003_D02_BW01,"[""T003_D02_BM01"", ""T003_D02_BW01"", ""T003_D02_M01""]",T003_D02_C02,UC_B,T003_D02,T003_D02_BM01,benign_matched,EXP1_T003_D02_C02,T003_D02_M01,EXP1_T003_D02_C02_UCB,1556
