analysis_group_id,arm,transition
RQ2_M_T000_D01_C01,malicious,H1:M -> H2:BM -> H3:M
RQ2_M_T000_D01_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T000_D01_C03,malicious,H1:M -> H2:M -> H3:BM
RQ2_M_T000_D02_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T000_D02_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T000_D02_C03,malicious,H1:M -> H2:BM -> H3:M
RQ2_M_T000_D03_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T000_D03_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T000_D03_C03,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T001_D01_C01,malicious,H1:None -> H2:M -> H3:M
RQ2_M_T001_D01_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T001_D01_C03,malicious,H1:M -> H2:M -> H3:None
RQ2_M_T001_D02_C01,malicious,H1:M -> H2:M -> H3:None
RQ2_M_T001_D02_C02,malicious,H1:M -> H2:BM -> H3:M
RQ2_M_T001_D02_C03,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T001_D03_C01,malicious,H1:M -> H2:M -> H3:None
RQ2_M_T001_D03_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T001_D03_C03,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T002_D01_C01,malicious,H1:M -> H2:M -> H3:None
RQ2_M_T002_D01_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T002_D01_C03,malicious,H1:M -> H2:BM -> H3:M
RQ2_M_T002_D02_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T002_D02_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T002_D02_C03,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T002_D03_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T002_D03_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T002_D03_C03,malicious,H1:M -> H2:BM -> H3:BM
RQ2_M_T003_D01_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T003_D01_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T003_D01_C03,malicious,H1:M -> H2:BM -> H3:BM
RQ2_M_T003_D02_C01,malicious,H1:None -> H2:M -> H3:M
RQ2_M_T003_D02_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T003_D02_C03,malicious,H1:None -> H2:None -> H3:M
RQ2_M_T003_D03_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T003_D03_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T003_D03_C03,malicious,H1:M -> H2:M -> H3:BM
RQ2_M_T004_D01_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T004_D01_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T004_D01_C03,malicious,H1:M -> H2:BM -> H3:M
RQ2_M_T004_D02_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T004_D02_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T004_D02_C03,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T004_D03_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T004_D03_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T004_D03_C03,malicious,H1:M -> H2:M -> H3:BM
RQ2_M_T005_D01_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T005_D01_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T005_D01_C03,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T005_D02_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T005_D02_C02,malicious,H1:M -> H2:None -> H3:M
RQ2_M_T005_D02_C03,malicious,H1:M -> H2:M -> H3:BM
RQ2_M_T005_D03_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T005_D03_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T005_D03_C03,malicious,H1:M -> H2:BM -> H3:BM
RQ2_M_T006_D01_C01,malicious,H1:None -> H2:M -> H3:M
RQ2_M_T006_D01_C02,malicious,H1:M -> H2:M -> H3:None
RQ2_M_T006_D01_C03,malicious,H1:None -> H2:BM -> H3:M
RQ2_M_T006_D02_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T006_D02_C02,malicious,H1:M -> H2:M -> H3:BM
RQ2_M_T006_D02_C03,malicious,H1:M -> H2:BM -> H3:M
RQ2_M_T006_D03_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T006_D03_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T006_D03_C03,malicious,H1:M -> H2:BM -> H3:BM
RQ2_M_T007_D01_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T007_D01_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T007_D01_C03,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T007_D02_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T007_D02_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T007_D02_C03,malicious,H1:M -> H2:M -> H3:BM
RQ2_M_T007_D03_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T007_D03_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T007_D03_C03,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T008_D01_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T008_D01_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T008_D01_C03,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T008_D02_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T008_D02_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T008_D02_C03,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T008_D03_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T008_D03_C02,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T008_D03_C03,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T009_D01_C01,malicious,H1:M -> H2:M -> H3:M
RQ2_M_T009_D01_C02,malicious,H1:M -> H2:M -> H3:None
